2022-10-28 09:38:22 [HikariPool-1 housekeeper] WARN  : HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=14h4m27s207ms566µs400ns).
2022-10-28 09:53:15 [HikariPool-1 housekeeper] WARN  : HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=11m21s187ms256µs600ns).
2022-10-28 10:03:18 [File Watcher] INFO  : Restarting due to 1 class path change (0 additions, 0 deletions, 1 modification)
2022-10-28 10:03:18 [Thread-4] INFO  : Pausing ProtocolHandler ["http-nio-9000"]
2022-10-28 10:03:18 [Thread-4] INFO  : Stopping service [Tomcat]
2022-10-28 10:03:18 [Thread-4] INFO  : Destroying Spring FrameworkServlet 'dispatcherServlet'
2022-10-28 10:03:18 [Thread-4] INFO  : Stopping ProtocolHandler ["http-nio-9000"]
2022-10-28 10:03:18 [Thread-4] INFO  : Destroying ProtocolHandler ["http-nio-9000"]
2022-10-28 10:03:18 [Thread-4] INFO  : Closing JPA EntityManagerFactory for persistence unit 'default'
2022-10-28 10:03:18 [Thread-4] INFO  : HikariPool-1 - Shutdown initiated...
2022-10-28 10:03:18 [Thread-4] INFO  : HikariPool-1 - Shutdown completed.
2022-10-28 10:03:19 [restartedMain] INFO  : Starting EmployeeManagementApplication using Java 17.0.4.1 on DESKTOP-KKFDHJN with PID 17180 (C:\Users\Dell\Desktop\Employee\employeeManagement.zip_expanded\employeeManagement\target\classes started by Dell in C:\Users\Dell\Desktop\Employee\employeeManagement.zip_expanded\employeeManagement)
2022-10-28 10:03:19 [restartedMain] INFO  : No active profile set, falling back to 1 default profile: "default"
2022-10-28 10:03:19 [restartedMain] INFO  : Multiple Spring Data modules found, entering strict repository configuration mode
2022-10-28 10:03:19 [restartedMain] INFO  : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2022-10-28 10:03:19 [restartedMain] INFO  : Spring Data JPA - Could not safely identify store assignment for repository candidate interface com.te.employeeManagement.EmpRepositary.EmpDetailsRepo; If you want this repository to be a JPA repository, consider annotating your entities with one of these annotations: javax.persistence.Entity, javax.persistence.MappedSuperclass (preferred), or consider extending one of the following types with your repository: org.springframework.data.jpa.repository.JpaRepository
2022-10-28 10:03:19 [restartedMain] INFO  : Finished Spring Data repository scanning in 19 ms. Found 1 JPA repository interfaces.
2022-10-28 10:03:19 [restartedMain] INFO  : Multiple Spring Data modules found, entering strict repository configuration mode
2022-10-28 10:03:19 [restartedMain] INFO  : Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2022-10-28 10:03:19 [restartedMain] INFO  : Spring Data MongoDB - Could not safely identify store assignment for repository candidate interface com.te.employeeManagement.EmpRepositary.EmpRepo; If you want this repository to be a MongoDB repository, consider annotating your entities with one of these annotations: org.springframework.data.mongodb.core.mapping.Document (preferred), or consider extending one of the following types with your repository: org.springframework.data.mongodb.repository.MongoRepository
2022-10-28 10:03:19 [restartedMain] INFO  : Finished Spring Data repository scanning in 12 ms. Found 1 MongoDB repository interfaces.
2022-10-28 10:03:20 [restartedMain] INFO  : Tomcat initialized with port(s): 9000 (http)
2022-10-28 10:03:20 [restartedMain] INFO  : Initializing ProtocolHandler ["http-nio-9000"]
2022-10-28 10:03:20 [restartedMain] INFO  : Starting service [Tomcat]
2022-10-28 10:03:20 [restartedMain] INFO  : Starting Servlet engine: [Apache Tomcat/9.0.65]
2022-10-28 10:03:20 [restartedMain] INFO  : Initializing Spring embedded WebApplicationContext
